City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
98,Mporokoso,ZM,2022-04-11 00:27:14,-9.3727,30.125,59.59,95,86,5.06,light rain
99,Torbay,CA,2022-04-11 00:26:09,47.6666,-52.7314,34.29,95,100,13.8,mist
100,Qeshm,IR,2022-04-11 00:27:15,26.9581,56.2719,73.27,76,0,5.68,clear sky
101,Hofn,IS,2022-04-11 00:27:15,64.2539,-15.2082,35.67,68,100,4.05,overcast clouds
102,Bereda,ES,2022-04-11 00:27:16,43.2686,-7.5406,48.56,98,73,3.18,broken clouds
103,Shirgaon,IN,2022-04-11 00:27:16,19.7,72.7,79.68,74,85,6.38,overcast clouds
104,Carnarvon,AU,2022-04-11 00:27:17,-24.8667,113.6333,66.27,68,3,9.22,clear sky
105,Aksu,CN,2022-04-11 00:27:17,41.1231,80.2644,59.0,42,45,5.48,scattered clouds
106,Talnakh,RU,2022-04-11 00:27:17,69.4865,88.3972,-1.23,97,97,6.22,overcast clouds
107,Mar Del Plata,AR,2022-04-11 00:27:18,-38.0023,-57.5575,69.1,96,100,10.0,overcast clouds
108,Codrington,AU,2022-04-11 00:27:18,-38.2667,141.9667,61.38,51,84,11.99,broken clouds
109,Moose Factory,CA,2022-04-11 00:27:18,51.2585,-80.6094,26.6,86,0,6.91,clear sky
110,Vardo,NO,2022-04-11 00:27:19,70.3705,31.1107,34.16,100,100,24.27,snow
111,Salalah,OM,2022-04-11 00:27:19,17.0151,54.0924,78.89,78,0,3.44,clear sky
112,Bandarbeyla,SO,2022-04-11 00:27:20,9.4942,50.8122,78.78,81,9,0.83,clear sky
113,Riachao Das Neves,BR,2022-04-11 00:27:20,-11.7461,-44.91,75.6,37,3,1.9,clear sky
114,Manta,EC,2022-04-11 00:27:21,-0.95,-80.7333,80.38,78,75,8.05,broken clouds
115,Iqaluit,CA,2022-04-11 00:24:31,63.7506,-68.5145,24.53,79,100,6.91,light snow
116,Grand Gaube,MU,2022-04-11 00:27:21,-20.0064,57.6608,77.4,87,8,1.99,clear sky
117,Lebu,CL,2022-04-11 00:24:56,-37.6167,-73.65,50.54,82,23,9.84,few clouds
118,Comodoro Rivadavia,AR,2022-04-11 00:27:21,-45.8667,-67.5,49.86,81,0,6.91,clear sky
119,Saldanha,ZA,2022-04-11 00:27:22,-33.0117,17.9442,66.25,50,3,7.67,clear sky
120,Caucaia,BR,2022-04-11 00:27:22,-3.7361,-38.6531,78.75,83,20,4.61,few clouds
121,Bonfim,BR,2022-04-11 00:27:22,3.0833,-59.95,81.84,66,95,4.25,overcast clouds
122,Guia Lopes Da Laguna,BR,2022-04-11 00:27:23,-21.4578,-56.1142,82.92,54,68,4.14,broken clouds
123,Pangnirtung,CA,2022-04-11 00:27:23,66.1451,-65.7125,21.81,93,100,2.55,overcast clouds
124,Beberibe,BR,2022-04-11 00:23:03,-4.1797,-38.1306,76.84,88,72,6.31,broken clouds
125,Kavaratti,IN,2022-04-11 00:24:53,10.5669,72.642,83.39,75,96,8.34,overcast clouds
126,Geraldton,AU,2022-04-11 00:27:24,-28.7667,114.6,63.01,94,75,8.05,broken clouds
127,Antofagasta,CL,2022-04-11 00:22:24,-23.65,-70.4,61.16,86,14,6.49,few clouds
128,East London,ZA,2022-04-11 00:23:32,-33.0153,27.9116,64.72,88,100,10.98,light rain
129,Didwana,IN,2022-04-11 00:27:25,27.4,74.5667,79.02,17,17,11.34,few clouds
130,Bonthe,SL,2022-04-11 00:27:25,7.5264,-12.505,78.98,90,58,3.8,broken clouds
131,Itarema,BR,2022-04-11 00:27:25,-2.9248,-39.9167,76.12,89,87,3.53,overcast clouds
132,Marzuq,YE,2022-04-11 00:27:26,14.4,46.4667,69.13,34,2,5.5,clear sky
133,Longyearbyen,SJ,2022-04-11 00:25:05,78.2186,15.6401,10.24,56,0,23.02,clear sky
134,Tarabuco,BO,2022-04-11 00:27:26,-19.1667,-64.9167,50.34,82,65,6.2,broken clouds
135,Humaita,BR,2022-04-11 00:27:27,-7.5061,-63.0208,74.1,98,100,2.62,overcast clouds
136,Panjab,AF,2022-04-11 00:28:27,34.388,67.0233,51.22,27,100,3.36,overcast clouds
137,Buribay,RU,2022-04-11 00:28:27,51.9617,58.1592,40.39,93,99,15.03,overcast clouds
138,Oia,PT,2022-04-11 00:28:28,40.5426,-8.5386,56.37,84,47,7.31,scattered clouds
139,Luderitz,NA,2022-04-11 00:28:28,-26.6481,15.1594,72.99,45,0,10.45,clear sky
140,Buraydah,SA,2022-04-11 00:28:29,26.326,43.975,75.65,17,41,9.93,scattered clouds
141,Mutis,CO,2022-04-11 00:28:29,6.2262,-77.4044,79.0,86,100,0.81,light rain
142,Nsanje,MW,2022-04-11 00:28:29,-16.92,35.262,71.29,94,62,3.65,broken clouds
143,Vila Franca Do Campo,PT,2022-04-11 00:28:30,37.7167,-25.4333,57.61,72,79,21.99,broken clouds
144,Sisimiut,GL,2022-04-11 00:25:23,66.9395,-53.6735,25.48,69,100,9.24,overcast clouds
145,Mecca,SA,2022-04-11 00:28:30,21.4267,39.8261,80.37,29,0,3.58,clear sky
146,Chama,CH,2022-04-11 00:28:30,47.1821,8.4636,38.35,100,40,0.0,scattered clouds
147,Vila Velha,BR,2022-04-11 00:24:21,-20.3297,-40.2925,78.75,83,0,6.91,clear sky
