City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
299,Rumonge,BI,71.49,overcast clouds,-3.9736,29.4386,Kwetu Guest House
300,Zwedru,LR,71.74,overcast clouds,6.0667,-8.1281,Elijah Worjloh
301,San Cristobal,VE,73.58,scattered clouds,7.7669,-72.225,Pirineos
304,Bull Savanna,JM,74.77,broken clouds,17.8868,-77.5902,Big Red's
305,Sao Filipe,CV,71.89,broken clouds,14.8961,-24.4956,Hotel Xaguate
313,Ambagarh Chauki,IN,79.93,broken clouds,20.7833,80.7167,गाँधी चौक शांति भवन सोनसाय टोला
314,Vredendal,ZA,72.64,clear sky,-31.6683,18.5012,Tharrakamma Guest House
325,Cabedelo,BR,79.47,few clouds,-6.9811,-34.8339,Hotel Pigalle
326,Touros,BR,78.3,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
328,Kalmunai,LK,77.97,broken clouds,7.4167,81.8167,VS Villa
329,Hole Narsipur,IN,71.91,overcast clouds,12.7828,76.2431,Vibhavi upahar and Cafe
330,Awjilah,LY,65.46,clear sky,29.1081,21.2869,المنزل
332,Hit,IQ,70.52,clear sky,33.6416,42.8251,بيت ابو رباح
334,Limon,CR,76.89,scattered clouds,10.0,-83.0333,Hotel Playa Bonita
335,Port-Gentil,GA,79.95,clear sky,-0.7193,8.7815,Fengshui Residence
338,Laguna,US,75.49,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
344,Yuty,PY,69.53,overcast clouds,-26.6,-56.25,Hotel Independencia
345,Clarence Town,AU,79.14,clear sky,-32.5833,151.7833,River Downs Cottage
346,Bagotville,AU,78.82,clear sky,-28.9833,153.4167,Broadwater Sunrise Caravan Park
351,Alabaster,US,75.13,clear sky,33.2443,-86.8164,"Candlewood Suites Alabaster, an IHG Hotel"
352,Guarapari,BR,77.9,clear sky,-20.6667,-40.4975,Hotel Porto do Sol
