City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
103,Taoudenni,ML,2022-04-10 17:59:09,22.6783,-3.9836,91.47,4,0,8.79
104,Praia Da Vitoria,PT,2022-04-10 17:59:09,38.7333,-27.0667,61.05,59,40,30.24
105,Vila Velha,BR,2022-04-10 17:59:09,-20.3297,-40.2925,84.15,78,40,12.66
106,Kavieng,PG,2022-04-10 17:59:10,-2.5744,150.7967,81.46,78,100,10.6
107,Tadine,NC,2022-04-10 17:59:10,-21.55,167.8833,77.81,82,53,11.36
108,Gushikawa,JP,2022-04-10 17:59:10,26.3544,127.8686,72.99,91,100,13.8
109,Nikolskoye,RU,2022-04-10 17:59:11,59.7035,30.7861,42.69,86,57,9.24
110,Victoria,HK,2022-04-10 17:59:11,22.2855,114.1577,76.17,84,1,5.01
111,Susanville,US,2022-04-10 17:59:11,40.4163,-120.653,48.67,27,100,5.01
112,Amarwara,IN,2022-04-10 17:59:12,22.3,79.1667,87.35,13,9,3.51
113,Anadyr,RU,2022-04-10 17:59:12,64.75,177.4833,19.9,85,0,4.47
114,Kiama,AU,2022-04-10 17:59:12,-34.6833,150.8667,65.68,93,27,5.84
115,La Libertad,EC,2022-04-10 17:59:13,-2.2333,-80.9,80.26,78,75,5.75
116,Hilo,US,2022-04-10 17:59:13,19.7297,-155.09,74.12,85,99,4.61
117,Norman Wells,CA,2022-04-10 17:59:13,65.282,-126.8329,8.64,72,40,9.22
118,Lavrentiya,RU,2022-04-10 17:59:13,65.5833,-171.0,19.62,98,93,5.01
119,Polson,US,2022-04-10 17:59:14,47.6936,-114.1632,37.22,49,89,3.0
120,Koslan,RU,2022-04-10 17:59:14,63.4564,48.8989,37.94,98,100,10.78
121,Castro,BR,2022-04-10 17:59:14,-24.7911,-50.0119,77.59,49,99,1.48
122,Haines Junction,CA,2022-04-10 17:59:15,60.7522,-137.5108,22.95,28,65,8.05
123,Mar Del Plata,AR,2022-04-10 17:59:15,-38.0023,-57.5575,74.08,97,75,15.99
124,Georgetown,MY,2022-04-10 17:59:15,5.4112,100.3354,82.33,93,20,0.0
125,Tirano,IT,2022-04-10 17:59:16,46.2154,10.1679,46.83,67,4,6.11
126,Cabo San Lucas,MX,2022-04-10 17:57:23,22.8909,-109.9124,80.06,54,26,10.0
127,Vardo,NO,2022-04-10 17:59:16,70.3705,31.1107,37.38,87,75,21.85
128,Price,US,2022-04-10 17:55:55,39.5994,-110.8107,44.11,17,0,12.71
129,Richards Bay,ZA,2022-04-10 17:59:16,-28.783,32.0377,67.86,82,100,2.68
130,Matara,LK,2022-04-10 17:59:17,5.9485,80.5353,78.76,84,99,6.78
131,Mount Gambier,AU,2022-04-10 17:59:17,-37.8333,140.7667,57.11,72,75,8.05
132,Turan,VN,2022-04-10 18:00:17,16.0678,108.2208,75.18,88,40,1.14
133,Guilin,CN,2022-04-10 18:00:18,25.2819,110.2864,69.01,63,0,0.34
134,Port Hedland,AU,2022-04-10 18:00:18,-20.3167,118.5667,78.85,94,20,9.22
135,Bay Roberts,CA,2022-04-10 18:00:18,47.5999,-53.2648,48.65,90,100,9.55
136,Dzilam Gonzalez,MX,2022-04-10 18:00:19,21.2833,-88.9333,88.48,29,5,7.4
137,Kahului,US,2022-04-10 18:00:19,20.8947,-156.47,76.84,83,59,4.0
138,Salalah,OM,2022-04-10 18:00:19,17.0151,54.0924,81.21,68,1,1.52
139,Yumen,CN,2022-04-10 18:00:20,40.2833,97.2,45.84,46,100,15.03
140,Cochrane,CA,2022-04-10 18:00:20,51.1834,-114.4687,34.61,31,100,20.8
141,Polistena,IT,2022-04-10 18:00:20,38.406,16.08,53.35,71,43,11.54
142,Naze,JP,2022-04-10 18:00:21,28.3667,129.4833,66.85,93,92,12.33
143,Bauchi,NG,2022-04-10 18:00:21,10.5,10.0,92.21,17,100,4.03
144,Isangel,VU,2022-04-10 18:00:21,-19.55,169.2667,78.91,85,65,7.83
145,Oyon,PE,2022-04-10 18:00:21,-10.6681,-76.7731,54.55,70,75,3.31
146,Dingle,PH,2022-04-10 18:00:22,10.9995,122.6711,72.88,96,100,4.74
147,Beira,MZ,2022-04-10 17:57:08,-19.8436,34.8389,71.69,94,75,9.22
148,Luderitz,NA,2022-04-10 18:00:22,-26.6481,15.1594,70.7,57,0,10.74
149,Bambous Virieux,MU,2022-04-10 18:00:23,-20.3428,57.7575,76.21,79,32,14.94
150,Cape Town,ZA,2022-04-10 17:57:03,-33.9258,18.4232,72.12,70,0,9.22
151,Arraial Do Cabo,BR,2022-04-10 18:00:23,-22.9661,-42.0278,77.36,79,54,10.33
152,Verkhnetulomskiy,RU,2022-04-10 18:00:23,68.6073,31.7962,33.93,98,100,6.85
153,Xichang,CN,2022-04-10 18:00:24,27.8964,102.2634,58.44,85,76,0.94
154,Fortuna,US,2022-04-10 18:00:11,40.5982,-124.1573,53.92,69,40,13.8
155,Saint-Joseph,RE,2022-04-10 18:00:24,-21.3667,55.6167,77.38,80,46,14.32
156,Gornoye Loo,RU,2022-04-10 18:00:24,43.7129,39.6049,55.18,60,100,5.5
157,Los Llanos De Aridane,ES,2022-04-10 18:00:25,28.6585,-17.9182,64.15,82,20,4.0
158,East London,ZA,2022-04-10 18:00:25,-33.0153,27.9116,66.45,84,100,16.78
159,Hermitage,US,2022-04-10 17:59:56,41.2334,-80.4487,48.81,62,95,1.01
160,Sola,VU,2022-04-10 18:00:25,-13.8833,167.55,81.5,76,47,8.03
161,Alice,US,2022-04-10 18:00:10,27.7523,-98.0697,86.5,38,2,22.91
162,Cikupa,ID,2022-04-10 18:00:26,-6.2364,106.5083,80.91,83,100,4.52
163,Hambantota,LK,2022-04-10 18:00:26,6.1241,81.1185,80.17,79,60,11.97
164,Sobolevo,RU,2022-04-10 18:00:26,54.4299,31.8996,42.57,61,100,5.32
165,Cayenne,GF,2022-04-10 18:00:08,4.9333,-52.3333,83.08,1,75,10.0
166,Kamaishi,JP,2022-04-10 18:00:27,39.2667,141.8833,53.26,67,4,8.21
167,Hailey,US,2022-04-10 18:00:27,43.5196,-114.3153,35.89,61,75,17.0
168,Clinton,US,2022-04-10 18:00:28,42.587,-82.9199,53.44,56,34,4.0
169,Sur,OM,2022-04-10 18:00:28,22.5667,59.5289,88.14,36,90,9.04
170,Kaitangata,NZ,2022-04-10 18:00:28,-46.2817,169.8464,44.19,96,16,5.46
171,Cidreira,BR,2022-04-10 18:00:28,-30.1811,-50.2056,74.16,82,3,15.35
172,Guerrero Negro,MX,2022-04-10 17:59:19,27.9769,-114.0611,71.65,54,15,4.92
173,Dunedin,NZ,2022-04-10 17:58:58,-45.8742,170.5036,50.81,90,5,4.0
174,Broome,US,2022-04-10 18:00:29,42.2506,-75.833,41.38,69,100,11.99
175,Alofi,NU,2022-04-10 18:00:29,-19.0595,-169.9187,80.46,76,25,7.23
176,Lebu,CL,2022-04-10 18:00:30,-37.6167,-73.65,54.91,78,57,16.55
177,Dharmadam,IN,2022-04-10 18:00:30,11.7833,75.4333,80.78,87,89,7.14
178,Bairiki,KI,2022-04-10 18:00:30,1.3292,172.9752,80.13,80,71,11.01
179,Sibolga,ID,2022-04-10 18:01:31,1.7427,98.7792,76.66,89,100,2.62
180,Southbridge,US,2022-04-10 18:01:31,42.0751,-72.0334,52.47,55,71,4.0
181,Kayakent,RU,2022-04-10 18:01:31,42.3874,47.903,52.97,73,0,7.56
182,Thompson,CA,2022-04-10 18:00:53,55.7435,-97.8558,37.56,87,100,5.75
183,Tuktoyaktuk,CA,2022-04-10 18:01:32,69.4541,-133.0374,0.21,87,99,13.18
184,Kenai,US,2022-04-10 17:59:10,60.5544,-151.2583,34.03,54,4,7.05
185,Soni,TZ,2022-04-10 18:01:32,-4.85,38.3667,64.85,78,67,3.18
186,La Cruz,MX,2022-04-10 18:01:32,23.9167,-106.9,78.28,59,23,10.87
187,Ankang,CN,2022-04-10 18:01:32,32.68,109.0172,67.01,60,1,1.48
188,Beisfjord,NO,2022-04-10 18:01:33,68.3751,17.5988,37.45,85,63,7.94
189,Tandalti,SD,2022-04-10 18:01:33,13.0167,31.8667,93.67,10,13,10.16
190,Asau,RO,2022-04-10 18:01:33,46.4333,26.4,39.96,90,100,6.6
191,Mitsamiouli,KM,2022-04-10 18:01:34,-11.3847,43.2844,82.33,74,61,3.78
192,Beringovskiy,RU,2022-04-10 18:01:34,63.05,179.3167,25.92,95,68,12.15
193,Bossangoa,CF,2022-04-10 18:01:34,6.4926,17.4552,80.06,60,73,3.51
194,Mocuba,MZ,2022-04-10 18:01:35,-16.8392,36.9856,70.65,94,23,3.69
195,Paranaiba,BR,2022-04-10 18:01:35,-19.6772,-51.1908,90.93,48,30,1.9
196,Tabuk,PH,2022-04-10 18:01:35,17.4189,121.4443,72.0,87,100,3.24
197,Canavieiras,BR,2022-04-10 18:01:36,-15.675,-38.9472,84.61,64,25,8.95
198,San Cristobal,VE,2022-04-10 18:01:36,7.7669,-72.225,84.15,40,96,7.47
199,Kuito,AO,2022-04-10 18:01:36,-12.3833,16.9333,60.24,98,100,6.35
200,Olafsvik,IS,2022-04-10 18:01:36,64.8945,-23.7142,38.68,74,100,15.08
201,Hualmay,PE,2022-04-10 18:01:37,-11.0964,-77.6139,73.06,75,55,9.33
202,Souillac,MU,2022-04-10 18:01:37,-20.5167,57.5167,77.86,81,68,13.76
203,Saint-Georges,GD,2022-04-10 18:01:37,12.0564,-61.7485,81.5,73,78,15.57
204,Tabory,RU,2022-04-10 18:01:38,58.5198,64.5495,36.18,95,100,8.48
205,Pisco,PE,2022-04-10 18:01:38,-13.7,-76.2167,73.02,76,86,7.18
206,Port Blair,IN,2022-04-10 18:01:38,11.6667,92.75,81.72,74,92,1.52
207,Pevek,RU,2022-04-10 18:01:39,69.7008,170.3133,-25.56,100,66,3.74
208,Dillon,US,2022-04-10 18:01:39,34.4166,-79.3712,65.25,33,0,12.73
209,Mezen,RU,2022-04-10 18:01:39,65.8522,44.24,38.01,97,100,12.48
210,Araouane,ML,2022-04-10 18:01:40,18.9048,-3.5265,94.15,5,0,9.24
211,Alamos,MX,2022-04-10 17:59:26,27.0167,-108.9333,80.28,40,22,10.56
212,Alta Floresta,BR,2022-04-10 18:00:35,-9.8756,-56.0861,87.06,62,48,1.52
213,Hidalgotitlan,MX,2022-04-10 18:01:40,17.7833,-94.6333,87.35,41,6,7.99
214,Nanortalik,GL,2022-04-10 18:01:41,60.1432,-45.2371,33.03,73,100,4.41
215,San Rafael Del Sur,NI,2022-04-10 18:01:41,11.8485,-86.4384,94.82,34,68,18.05
216,Monrovia,LR,2022-04-10 18:01:41,6.3005,-10.7969,85.77,75,99,9.78
217,Talnakh,RU,2022-04-10 18:01:41,69.4865,88.3972,-4.14,97,91,3.11
218,Troina,IT,2022-04-10 18:01:42,37.7854,14.5985,48.78,80,3,9.73
219,Hit,IQ,2022-04-10 18:01:42,33.6416,42.8251,77.2,17,61,9.82
220,Male,MV,2022-04-10 18:01:42,4.1748,73.5089,84.61,72,10,13.09
221,Mtambile,TZ,2022-04-10 18:01:43,-5.3833,39.7,83.37,71,10,14.18
222,Luanda,AO,2022-04-10 17:58:02,-8.8368,13.2343,80.6,78,20,8.05
223,Boende,CD,2022-04-10 18:01:43,-0.2167,20.8667,73.02,97,87,0.83
224,Parana,AR,2022-04-10 18:01:02,-31.732,-60.5238,81.55,67,44,8.77
225,Zenzeli,RU,2022-04-10 18:02:44,45.9241,47.0474,57.65,53,0,9.1
226,Aitape,PG,2022-04-10 18:02:44,-3.1374,142.3475,77.63,85,34,7.11
227,Hameenlinna,FI,2022-04-10 18:00:19,60.996,24.4643,34.25,86,93,11.95
228,Kitimat,CA,2022-04-10 18:02:44,54.0524,-128.6534,39.9,63,79,4.32
229,Rumphi,MW,2022-04-10 17:57:50,-11.0186,33.8575,63.91,98,64,3.85
230,Barrow,US,2022-04-10 18:02:45,71.2906,-156.7887,-7.58,71,100,12.66
231,Lander,US,2022-04-10 18:00:00,42.833,-108.7307,36.1,62,61,5.1
232,Almaznyy,RU,2022-04-10 18:02:45,48.0448,40.045,59.2,57,94,11.07
233,Sept-Iles,CA,2022-04-10 18:00:03,50.2001,-66.3821,35.8,99,100,4.14
234,Kailua,US,2022-04-10 18:02:46,21.4022,-157.7394,77.07,80,86,4.0
